,job_posting,resume,similarity_score,model_name
0,job_0,resume_12,0.4934024,all-MiniLM-L6-v2
1,job_0,resume_80,0.42408323,all-MiniLM-L6-v2
2,job_0,resume_28,0.3884638,all-MiniLM-L6-v2
3,job_0,resume_20,0.3796414,all-MiniLM-L6-v2
4,job_0,resume_16,0.36559677,all-MiniLM-L6-v2
5,job_0,resume_213,0.3613845,all-MiniLM-L6-v2
6,job_0,resume_152,0.35899246,all-MiniLM-L6-v2
7,job_0,resume_36,0.35851192,all-MiniLM-L6-v2
8,job_0,resume_127,0.3571966,all-MiniLM-L6-v2
9,job_0,resume_113,0.3522327,all-MiniLM-L6-v2
10,job_0,resume_58,0.35164768,all-MiniLM-L6-v2
11,job_0,resume_98,0.35031608,all-MiniLM-L6-v2
12,job_0,resume_17,0.3486972,all-MiniLM-L6-v2
13,job_0,resume_123,0.34525758,all-MiniLM-L6-v2
14,job_0,resume_93,0.34495604,all-MiniLM-L6-v2
15,job_0,resume_69,0.340208,all-MiniLM-L6-v2
16,job_0,resume_193,0.33949715,all-MiniLM-L6-v2
17,job_0,resume_18,0.3385902,all-MiniLM-L6-v2
18,job_0,resume_56,0.33088452,all-MiniLM-L6-v2
19,job_0,resume_207,0.32874453,all-MiniLM-L6-v2
20,job_0,resume_54,0.32817256,all-MiniLM-L6-v2
21,job_0,resume_26,0.3278362,all-MiniLM-L6-v2
22,job_0,resume_264,0.32647988,all-MiniLM-L6-v2
23,job_0,resume_32,0.325318,all-MiniLM-L6-v2
24,job_0,resume_165,0.32151103,all-MiniLM-L6-v2
25,job_0,resume_203,0.32146,all-MiniLM-L6-v2
26,job_0,resume_59,0.3207413,all-MiniLM-L6-v2
27,job_0,resume_5,0.31697637,all-MiniLM-L6-v2
28,job_0,resume_195,0.31566274,all-MiniLM-L6-v2
29,job_0,resume_91,0.31526905,all-MiniLM-L6-v2
30,job_0,resume_267,0.3145308,all-MiniLM-L6-v2
31,job_0,resume_110,0.3134275,all-MiniLM-L6-v2
32,job_0,resume_61,0.31306398,all-MiniLM-L6-v2
33,job_0,resume_19,0.31066734,all-MiniLM-L6-v2
34,job_0,resume_293,0.31021875,all-MiniLM-L6-v2
35,job_0,resume_25,0.3101759,all-MiniLM-L6-v2
36,job_0,resume_202,0.3100837,all-MiniLM-L6-v2
37,job_0,resume_162,0.30957004,all-MiniLM-L6-v2
38,job_0,resume_181,0.3095619,all-MiniLM-L6-v2
39,job_0,resume_10,0.30945468,all-MiniLM-L6-v2
40,job_0,resume_90,0.30913028,all-MiniLM-L6-v2
41,job_0,resume_265,0.30805892,all-MiniLM-L6-v2
42,job_0,resume_263,0.30787405,all-MiniLM-L6-v2
43,job_0,resume_298,0.30704534,all-MiniLM-L6-v2
44,job_0,resume_232,0.30687195,all-MiniLM-L6-v2
45,job_0,resume_276,0.30514467,all-MiniLM-L6-v2
46,job_0,resume_48,0.3050672,all-MiniLM-L6-v2
47,job_0,resume_244,0.30494314,all-MiniLM-L6-v2
48,job_0,resume_2,0.30492738,all-MiniLM-L6-v2
49,job_0,resume_286,0.30447045,all-MiniLM-L6-v2
50,job_0,resume_283,0.30437344,all-MiniLM-L6-v2
51,job_0,resume_235,0.3040405,all-MiniLM-L6-v2
52,job_0,resume_273,0.3039152,all-MiniLM-L6-v2
53,job_0,resume_238,0.30223244,all-MiniLM-L6-v2
54,job_0,resume_49,0.30130738,all-MiniLM-L6-v2
55,job_0,resume_285,0.3011777,all-MiniLM-L6-v2
56,job_0,resume_230,0.30113488,all-MiniLM-L6-v2
57,job_0,resume_115,0.30112317,all-MiniLM-L6-v2
58,job_0,resume_21,0.30103815,all-MiniLM-L6-v2
59,job_0,resume_217,0.30047858,all-MiniLM-L6-v2
