,job_posting,resume_A,score_baseline,resume_A_prime,score_variant,delta,flag,model_name
0,job_0,resume_0,0.2525366,resume_0_prime,0.24220927,0.010327324,0,all-MiniLM-L6-v2
1,job_0,resume_1,0.2894553,resume_1_prime,0.28417367,0.005281627,0,all-MiniLM-L6-v2
2,job_0,resume_2,0.30492738,resume_2_prime,0.3289237,-0.023996323,0,all-MiniLM-L6-v2
3,job_0,resume_4,0.25138903,resume_4_prime,0.25138903,0.0,0,all-MiniLM-L6-v2
4,job_0,resume_5,0.31697637,resume_5_prime,0.31697637,0.0,0,all-MiniLM-L6-v2
5,job_0,resume_6,0.28799424,resume_6_prime,0.28799424,0.0,0,all-MiniLM-L6-v2
6,job_0,resume_7,0.25239503,resume_7_prime,0.26243144,-0.010036409,0,all-MiniLM-L6-v2
7,job_0,resume_8,0.27114964,resume_8_prime,0.27114964,0.0,0,all-MiniLM-L6-v2
8,job_0,resume_9,0.24204786,resume_9_prime,0.24204786,0.0,0,all-MiniLM-L6-v2
9,job_0,resume_10,0.30945468,resume_10_prime,0.2897476,0.019707084,0,all-MiniLM-L6-v2
10,job_0,resume_11,0.2622276,resume_11_prime,0.2622276,0.0,0,all-MiniLM-L6-v2
11,job_0,resume_12,0.4934024,resume_12_prime,0.49705943,-0.003657043,0,all-MiniLM-L6-v2
12,job_0,resume_13,0.27602684,resume_13_prime,0.27535313,0.0006737113,0,all-MiniLM-L6-v2
13,job_0,resume_14,0.22997707,resume_14_prime,0.23893072,-0.008953646,0,all-MiniLM-L6-v2
14,job_0,resume_16,0.36559677,resume_16_prime,0.2783783,0.08721846,1,all-MiniLM-L6-v2
15,job_0,resume_17,0.3486972,resume_17_prime,0.33012846,0.018568724,0,all-MiniLM-L6-v2
16,job_0,resume_18,0.3385902,resume_18_prime,0.3385902,0.0,0,all-MiniLM-L6-v2
17,job_0,resume_19,0.31066734,resume_19_prime,0.2790036,0.031663746,0,all-MiniLM-L6-v2
18,job_0,resume_20,0.3796414,resume_20_prime,0.31646296,0.06317845,1,all-MiniLM-L6-v2
19,job_0,resume_21,0.30103815,resume_21_prime,0.301677,-0.0006388426,0,all-MiniLM-L6-v2
20,job_0,resume_23,0.2466865,resume_23_prime,0.2440952,0.002591297,0,all-MiniLM-L6-v2
21,job_0,resume_24,0.2482738,resume_24_prime,0.2482738,0.0,0,all-MiniLM-L6-v2
22,job_0,resume_25,0.3101759,resume_25_prime,0.3623995,-0.052223593,1,all-MiniLM-L6-v2
23,job_0,resume_26,0.3278362,resume_26_prime,0.34866062,-0.020824432,0,all-MiniLM-L6-v2
24,job_0,resume_27,0.20170715,resume_27_prime,0.20170715,0.0,0,all-MiniLM-L6-v2
25,job_0,resume_28,0.3884638,resume_28_prime,0.3540877,0.034376085,0,all-MiniLM-L6-v2
26,job_0,resume_31,0.17326479,resume_31_prime,0.2567334,-0.0834686,1,all-MiniLM-L6-v2
27,job_0,resume_32,0.325318,resume_32_prime,0.325318,0.0,0,all-MiniLM-L6-v2
28,job_0,resume_34,0.28837186,resume_34_prime,0.26675248,0.02161938,0,all-MiniLM-L6-v2
29,job_0,resume_36,0.35851192,resume_36_prime,0.33494782,0.0235641,0,all-MiniLM-L6-v2
30,job_0,resume_37,0.19838953,resume_37_prime,0.2046713,-0.0062817633,0,all-MiniLM-L6-v2
31,job_0,resume_38,0.27006716,resume_38_prime,0.2897476,-0.01968044,0,all-MiniLM-L6-v2
32,job_0,resume_39,0.20483625,resume_39_prime,0.22081348,-0.015977234,0,all-MiniLM-L6-v2
33,job_0,resume_40,0.21920152,resume_40_prime,0.21920152,0.0,0,all-MiniLM-L6-v2
34,job_0,resume_41,0.2241354,resume_41_prime,0.20272931,0.021406084,0,all-MiniLM-L6-v2
35,job_0,resume_42,0.29271394,resume_42_prime,0.29271394,0.0,0,all-MiniLM-L6-v2
36,job_0,resume_43,0.23140636,resume_43_prime,0.23140636,0.0,0,all-MiniLM-L6-v2
37,job_0,resume_47,0.27881825,resume_47_prime,0.27881825,0.0,0,all-MiniLM-L6-v2
38,job_0,resume_48,0.3050672,resume_48_prime,0.29686987,0.008197337,0,all-MiniLM-L6-v2
39,job_0,resume_49,0.30130738,resume_49_prime,0.28706455,0.014242828,0,all-MiniLM-L6-v2
40,job_0,resume_50,0.2564374,resume_50_prime,0.24288435,0.013553038,0,all-MiniLM-L6-v2
41,job_0,resume_51,0.23171818,resume_51_prime,0.20189835,0.029819831,0,all-MiniLM-L6-v2
42,job_0,resume_52,0.23732889,resume_52_prime,0.23411477,0.0032141209,0,all-MiniLM-L6-v2
43,job_0,resume_54,0.32817256,resume_54_prime,0.30323833,0.024934232,0,all-MiniLM-L6-v2
44,job_0,resume_55,0.20396554,resume_55_prime,0.25880554,-0.05484,1,all-MiniLM-L6-v2
45,job_0,resume_56,0.33088452,resume_56_prime,0.24782814,0.083056375,1,all-MiniLM-L6-v2
46,job_0,resume_58,0.35164768,resume_58_prime,0.32381418,0.027833492,0,all-MiniLM-L6-v2
47,job_0,resume_59,0.3207413,resume_59_prime,0.29242408,0.028317213,0,all-MiniLM-L6-v2
48,job_0,resume_61,0.31306398,resume_61_prime,0.29921076,0.013853222,0,all-MiniLM-L6-v2
49,job_0,resume_67,0.26498276,resume_67_prime,0.2897476,-0.024764836,0,all-MiniLM-L6-v2
50,job_0,resume_68,0.24771628,resume_68_prime,0.24324134,0.004474938,0,all-MiniLM-L6-v2
51,job_0,resume_69,0.340208,resume_69_prime,0.32428136,0.01592663,0,all-MiniLM-L6-v2
52,job_0,resume_70,0.24669212,resume_70_prime,0.24669212,0.0,0,all-MiniLM-L6-v2
53,job_0,resume_71,0.2789304,resume_71_prime,0.3307541,-0.051823705,1,all-MiniLM-L6-v2
54,job_0,resume_73,0.22777838,resume_73_prime,0.22147475,0.0063036233,0,all-MiniLM-L6-v2
55,job_0,resume_75,0.1493822,resume_75_prime,0.065060176,0.08432203,1,all-MiniLM-L6-v2
56,job_0,resume_79,0.25264984,resume_79_prime,0.25968084,-0.0070309937,0,all-MiniLM-L6-v2
57,job_0,resume_80,0.42408323,resume_80_prime,0.40315548,0.020927757,0,all-MiniLM-L6-v2
58,job_0,resume_82,0.2066303,resume_82_prime,0.2066303,0.0,0,all-MiniLM-L6-v2
